"1","ProjectVersion","1.1","1"
"316","derived","derived","348"
"317","derived","derived","349"
"318","derived","derived","350"
"319","derived","derived","351"
"320","derived","derived","352"
"321","derived","derived","353"
"322","derived","derived","354"
"323","derived","derived","355"
"324","derived","derived","356"
"325","derived","derived","357"
"326","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","358"
"327","derived","derived","358"
"328","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","359"
"329","derived","derived","359"
"330","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","360"
"331","derived","derived","360"
"332","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","361"
"333","derived","derived","361"
"334","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","362"
"335","derived","derived","362"
"336","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","363"
"337","derived","derived","363"
"338","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","364"
"339","derived","derived","364"
"340","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","365"
"341","derived","derived","365"
"342","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","366"
"343","derived","derived","366"
"344","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","367"
"345","derived","derived","367"
"346","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_storageContainer_edu.wustl.catissuecore.domain.StorageContainer","368"
"347","derived","derived","368"
"350","actualAssociationPointer","edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup_abstractSpecimenCollectionGroupCollection_specimenCollectionSite_edu.wustl.catissuecore.domain.Site","380"
"351","derived","derived","380"
"352","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","384"
"353","derived","derived","384"
"354","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","385"
"355","derived","derived","385"
"356","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","386"
"357","derived","derived","386"
"358","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","387"
"359","derived","derived","387"
"360","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","388"
"361","derived","derived","388"
"362","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenCollectionGroup_specimenCollectionGroup_specimenEventParametersCollection_edu.wustl.catissuecore.domain.SpecimenEventParameters","389"
"363","derived","derived","389"
"364","derived","derived","391"
"365","derived","derived","393"
"366","derived","derived","397"
"367","derived","derived","398"
